hole_uid,source_id,native_id,company,project,jurisdiction,lat,lon,easting,northing,utm_zone,utm_hemi,datum,elev_m,azimuth,dip,depth_m,year_drilled,has_assay,assay_flags,report_ref,url
gov:nb:78-004,gov:nb,78-004,,Yes,New Brunswick,45.862319712722126,-67.04042105702273,,,,,NAD83,,180.0,-45.0,155.499816,1979.0,0,,472382,
gov:nb:78-007,gov:nb,78-007,,Yes,New Brunswick,45.862324971932026,-67.04120668680531,,,,,NAD83,,180.0,-45.0,99.998784,1979.0,0,,472382,
gov:nb:78-009,gov:nb,78-009,,Yes,New Brunswick,45.862864802255864,-67.04121195316483,,,,,NAD83,,180.0,-60.0,141.1986,1979.0,0,,472382,
gov:nb:78-010,gov:nb,78-010,,Yes,New Brunswick,45.86313471740894,-67.04121458639189,,,,,NAD83,,180.0,-70.0,152.4,1979.0,0,,472382,
gov:nb:78-011,gov:nb,78-011,,Yes,New Brunswick,45.86355764579423,-67.04120583381932,,,,,NAD83,,180.0,-72.0,177.701448,1979.0,0,,472382,
gov:nb:83-001,gov:nb,83-001,,Yes,New Brunswick,45.86445932453864,-67.04080250792435,,,,,NAD83,,185.0,-85.0,834.80148,1984.0,0,,473020,
gov:nb:78-006,gov:nb,78-006,,Yes,New Brunswick,45.862886534617616,-67.04042657867602,,,,,NAD83,,180.0,-45.0,121.999248,1979.0,0,,472382,
gov:nb:70-062,gov:nb,70-062,,Yes,New Brunswick,45.85444369053163,-67.0391854621001,,,,,NAD83,,,-90.0,224.94240000000002,1971.0,0,,470191,
gov:nb:88-001,gov:nb,88-001,,Yes,New Brunswick,45.85375816909217,-67.03574081644017,,,,,NAD83,,180.0,-76.0,544.068,1988.0,0,,473849,
gov:nb:88-004,gov:nb,88-004,,Yes,New Brunswick,45.85780928148297,-67.04286244077034,,,,,NAD83,,225.0,-70.0,469.392,1988.0,0,,473849,
gov:nb:88-006,gov:nb,88-006,,Yes,New Brunswick,45.85635173768918,-67.03142632727398,,,,,NAD83,,180.0,-70.0,495.9096,1988.0,0,,473849,
gov:nb:88-007,gov:nb,88-007,,Yes,New Brunswick,45.855013752736255,-67.02892832259442,,,,,NAD83,,180.0,-70.0,487.68,1988.0,0,,473849,
gov:nb:25-007,gov:nb,25-007,,Yes,New Brunswick,45.845337874053335,-67.05419866818232,,,,,NAD83,,90.0,-45.0,60.999624,1954.0,0,,470199,
gov:nb:25-006,gov:nb,25-006,,Yes,New Brunswick,45.845344583787416,-67.05282117392942,,,,,NAD83,,270.0,-45.0,93.000576,1954.0,0,,470199,
gov:nb:25-005,gov:nb,25-005,,Yes,New Brunswick,45.849705472028624,-67.03844415366284,,,,,NAD83,,185.0,-45.0,33.799272,1954.0,0,,470199,
gov:nb:25-004,gov:nb,25-004,,Yes,New Brunswick,45.849263145512005,-67.03874886936532,,,,,NAD83,,220.0,-45.0,107.00004,1954.0,0,,470199,
gov:nb:25-003,gov:nb,25-003,,Yes,New Brunswick,45.848881023027296,-67.03774089301913,,,,,NAD83,,220.0,-45.0,168.30141600000002,1954.0,0,,470199,
gov:nb:25-002,gov:nb,25-002,,Yes,New Brunswick,45.856618783096565,-67.03777725028387,,,,,NAD83,,20.0,-45.0,107.89920000000001,1954.0,0,,470199,
gov:nb:25-001,gov:nb,25-001,,Yes,New Brunswick,45.858017486041376,-67.03691514841253,,,,,NAD83,,200.0,-45.0,184.0992,1954.0,0,,470199,
gov:nb:L-11,gov:nb,L-11,,Yes,New Brunswick,45.78060070963551,-65.77923336426466,,,,,NAD83,,145.0,-45.0,24.0792,1968.0,0,,470604,
gov:nb:L-10,gov:nb,L-10,,Yes,New Brunswick,45.780382251253435,-65.77883755269143,,,,,NAD83,,145.0,-45.0,68.58,1968.0,0,,470604,
gov:nb:L-9,gov:nb,L-9,,Yes,New Brunswick,45.78122330809503,-65.77667907822237,,,,,NAD83,,145.0,-45.0,85.95360000000001,1968.0,0,,470604,
gov:nb:70-028,gov:nb,70-028,,Yes,New Brunswick,45.85055935542956,-67.03482151826887,,,,,NAD83,,166.0,-70.0,88.69680000000001,1970.0,0,,470192,
gov:nb:70-033,gov:nb,70-033,,Yes,New Brunswick,45.850596313486534,-67.03461586466626,,,,,NAD83,,166.0,-55.0,90.8304,1970.0,0,,470192,
gov:nb:70-034,gov:nb,70-034,,Yes,New Brunswick,45.850596313486534,-67.03461586466626,,,,,NAD83,,166.0,-70.0,92.6592,1970.0,0,,470192,
gov:nb:70-035,gov:nb,70-035,,Yes,New Brunswick,45.850642268359955,-67.03441029743092,,,,,NAD83,,166.0,-55.0,87.47760000000001,1970.0,0,,470192,
gov:nb:70-036,gov:nb,70-036,,Yes,New Brunswick,45.850642268359955,-67.03441029743092,,,,,NAD83,,166.0,-70.0,88.39200000000001,1970.0,0,,470192,
gov:nb:70-014,gov:nb,70-014,,Yes,New Brunswick,45.85076119573868,-67.03590501808503,,,,,NAD83,,166.0,-55.0,117.9576,1970.0,0,,470192,
gov:nb:70-016,gov:nb,70-016,,Yes,New Brunswick,45.85076119573868,-67.03590501808503,,,,,NAD83,,166.0,-70.0,112.77600000000001,1970.0,0,,470192,
gov:nb:70-037,gov:nb,70-037,,Yes,New Brunswick,45.85070575501595,-67.03621349799799,,,,,NAD83,,166.0,-55.0,114.90960000000001,1970.0,0,,470192,
gov:nb:70-038,gov:nb,70-038,,Yes,New Brunswick,45.85070575501595,-67.03621349799799,,,,,NAD83,,166.0,-70.0,117.9576,1970.0,0,,470192,
gov:nb:70-006,gov:nb,70-006,,Yes,New Brunswick,45.85049449602697,-67.0352200364203,,,,,NAD83,,166.0,-55.0,85.95360000000001,1970.0,0,,470192,
gov:nb:70-010,gov:nb,70-010,,Yes,New Brunswick,45.85049449602697,-67.0352200364203,,,,,NAD83,,166.0,-70.0,85.03920000000001,1970.0,0,,470192,
gov:nb:70-049,gov:nb,70-049,,Yes,New Brunswick,45.850373284345324,-67.03612015660357,,,,,NAD83,,166.0,-55.0,85.95360000000001,1970.0,0,,470192,
gov:nb:70-001,gov:nb,70-001,,Yes,New Brunswick,45.85033284982665,-67.03515409967102,,,,,NAD83,,167.0,-55.0,79.248,1970.0,0,,470192,
gov:nb:70-029,gov:nb,70-029,,Yes,New Brunswick,45.851073667426334,-67.03642306454618,,,,,NAD83,,166.0,-55.0,147.2184,1970.0,0,,470192,
gov:nb:70-063,gov:nb,70-063,,Yes,New Brunswick,45.85113828811979,-67.03607604426848,,,,,NAD83,,166.0,-55.0,151.1808,1970.0,0,,470192,
gov:nb:70-042,gov:nb,70-042,,Yes,New Brunswick,45.85104503441548,-67.03677043211627,,,,,NAD83,,166.0,-55.0,145.3896,1970.0,0,,470192,
gov:nb:70-050,gov:nb,70-050,,Yes,New Brunswick,45.85099007809027,-67.03697591180901,,,,,NAD83,,188.0,-55.0,167.64000000000001,1970.0,0,,470192,
gov:nb:70-051,gov:nb,70-051,,Yes,New Brunswick,45.850838159967566,-67.03675555544001,,,,,NAD83,,166.0,-55.0,131.064,1970.0,0,,470192,
gov:nb:70-069,gov:nb,70-069,,Yes,New Brunswick,45.85078277778404,-67.0370511598533,,,,,NAD83,,166.0,-55.0,136.8552,1970.0,0,,470192,
gov:nb:70-056,gov:nb,70-056,,Yes,New Brunswick,45.85111463902581,-67.0372732589611,,,,,NAD83,,166.0,-55.0,161.544,1970.0,0,,470192,
gov:nb:73-015,gov:nb,73-015,,Yes,New Brunswick,45.85111457815381,-67.03728613410485,,,,,NAD83,,,-90.0,185.50128,1974.0,0,,470194,
gov:nb:70-032,gov:nb,70-032,,Yes,New Brunswick,45.85154595597153,-67.03739331737856,,,,,NAD83,,166.0,-55.0,193.2432,1970.0,0,,470192,
gov:nb:70-054,gov:nb,70-054,,Yes,New Brunswick,45.851377443698084,-67.03687665375739,,,,,NAD83,,166.0,-55.0,168.85920000000002,1970.0,0,,470192,
gov:nb:73-014,gov:nb,73-014,,Yes,New Brunswick,45.85138644088291,-67.0368767408017,,,,,NAD83,,,-90.0,172.300392,1974.0,0,,470194,
gov:nb:70-057,gov:nb,70-057,,Yes,New Brunswick,45.85143306859289,-67.03652954512788,,,,,NAD83,,166.0,-55.0,153.6192,1970.0,0,,470192,
gov:nb:73-013,gov:nb,73-013,,Yes,New Brunswick,45.85143306859289,-67.03652954512788,,,,,NAD83,,,-90.0,161.001456,1974.0,0,,470194,
gov:nb:70-064,gov:nb,70-064,,Yes,New Brunswick,45.85149805407551,-67.03610527132312,,,,,NAD83,,166.0,-55.0,171.14520000000002,1970.0,0,,470192,
gov:nb:73-010,gov:nb,73-010,,Yes,New Brunswick,45.85149817555096,-67.03607952085387,,,,,NAD83,,,-90.0,194.498976,1974.0,0,,470194,
